BINOM.INV;Returns the smallest value for which the cumulative binomial distribution is less than or equal to a criterion value;БИНОМ.ОБР;Возвращает наименьшее значение, для которого интегральное биномиальное распределение меньше заданного значения или равно ему.;BINOM.INV;;;
BINOMDIST;Returns the individual term binomial distribution probability;БИНОМРАСП;Возвращает отдельное значение вероятности биномиального распределения.;;;;
BITAND;Returns a 'Bitwise And' of two numbers;БИТ.И;Возвращает результат операции поразрядного И для двух чисел.;BITAND;;;
BITLSHIFT;Returns a value number shifted left by shift_amount bits;БИТ.СДВИГЛ;Возвращает число со сдвигом влево на указанное число бит.;BITLSHIFT;;;
BITOR;Returns a bitwise OR of 2 numbers;БИТ.ИЛИ;Возвращает результат операции поразрядного ИЛИ для двух чисел.;BITOR;;;
BITRSHIFT;Returns a value number shifted right by shift_amount bits;БИТ.СДВИГП;Возвращает число со сдвигом вправо на указанное число бит.;BITRSHIFT;;;
BITXOR;Returns a bitwise 'Exclusive Or' of two numbers;БИТ.ИСКЛИЛИ;"Возвращает побитовое ""исключающее или"" двух чисел.";BITXOR;;;
CALL;Calls a procedure in a dynamic link library or code resource;ВЫЗВАТЬ;Вызывает процедуру из динамически связываемой библиотеки или программный ресурс.;;;;
CEILING;Rounds a number to the nearest integer or to the nearest multiple of significance;ОКРВВЕРХ;Округляет число до ближайшего целого или кратного.;CEILING;;;
CEILING.MATH;Rounds a number up, to the nearest integer or to the nearest multiple of significance;ОКРВВЕРХ.МАТ;Округляет число в большую сторону до ближайшего целого или кратного.;CEILING.MATH;;;
CEILING.PRECISE;Rounds a number the nearest integer or to the nearest multiple of significance. Regardless of the sign of the number, the number is rounded up.;ОКРВВЕРХ.ТОЧН;Округляет число в большую сторону (независимо от его знака) до ближайшего целого или кратного.;CEILING.PRECISE;;;
CELL;Returns information about the formatting, location, or contents of a cell;ЯЧЕЙКА;Возвращает сведения о формате, расположении или содержимом ячейки.;;;;
CHAR;Returns the character specified by the code number;СИМВОЛ;Возвращает символ с заданным кодом.;CHAR;;;
CHIDIST;Returns the one-tailed probability of the chi-squared distribution;ХИ2РАСП;Возвращает одностороннюю вероятность распределения хи-квадрат.;;;;
CHIINV;Returns the inverse of the one-tailed probability of the chi-squared distribution;ХИ2ОБР;Возвращает обратное значение односторонней вероятности распределения хи-квадрат.;;;;
CHISQ.DIST;Returns the cumulative beta probability density function;ХИ2.РАСП;Возвращает интегральную функцию плотности бета-вероятности.;CHISQ.DIST;;;
CHISQ.DIST.RT;Returns the one-tailed probability of the chi-squared distribution;ХИ2.РАСП.ПХ;Возвращает одностороннюю вероятность распределения хи-квадрат.;CHISQ.DIST.RT;;;
CHISQ.INV;Returns the cumulative beta probability density function;ХИ2.ОБР;Возвращает интегральную функцию плотности бета-вероятности.;CHISQ.INV;;;
CHISQ.INV.RT;Returns the inverse of the one-tailed probability of the chi-squared distribution;ХИ2.ОБР.ПХ;Возвращает обратное значение односторонней вероятности распределения хи-квадрат.;CHISQ.INV.RT;;;
CHISQ.TEST;Returns the test for independence;ХИ2.ТЕСТ;Возвращает тест на независимость.;CHISQ.TEST;;;
CHITEST;Returns the test for independence;ХИ2ТЕСТ;Возвращает тест на независимость.;;;;
CHOOSE;Use this function to select one of up to 254 values based on the index number. For example, if value1 through value7 are the days of the week, CHOOSE returns one of the days when a number between 1 and 7 is used as index_num.;ВЫБОР;"Эта функция позволяет выбрать одно значение из списка, в котором может быть до 254 значений. Например, если первые семь значений — это дни недели, то функция ВЫБОР возвращает один из дней при использовании числа от 1 до 7 в качестве аргумента ""номер_индекса"".";;;;
CLEAN;Removes all nonprintable characters from text;ПЕЧСИМВ;Удаляет из текста все непечатаемые символы.;CLEAN;;;
CODE;Returns a numeric code for the first character in a text string;КОДСИМВ;Возвращает числовой код первого знака в текстовой строке.;CODE;;;
COLUMN;Returns the column number of a reference;СТОЛБЕЦ;Возвращает номер столбца, на который указывает ссылка.;COLUMN;;;
COLUMNS;Returns the number of columns in a reference;ЧИСЛСТОЛБ;Возвращает количество столбцов в ссылке.;COLUMNS;;;
COMBIN;Returns the number of combinations for a given number of objects;ЧИСЛКОМБ;Возвращает количество комбинаций для заданного числа объектов.;COMBIN;;;
COMBINA;Returns the number of combinations with repetitions for a given number of items;ЧИСЛКОМБА;Возвращает количество комбинаций с повторами для заданного числа элементов.;COMBINA;;;
COMPLEX;Converts real and imaginary coefficients into a complex number;КОМПЛЕКСН;Преобразует коэффициенты при вещественной и мнимой частях комплексного числа в комплексное число.;COMPLEX;;;
CONCAT;Combines the text from multiple ranges and/or strings, but it doesn't provide the delimiter or IgnoreEmpty arguments.;СЦЕП;Объединяет текст из нескольких диапазонов или строк, но не добавляет разделитель или аргументы IgnoreEmpty.;CONCAT;;;
CONCATENATE;Joins several text items into one text item;СЦЕПИТЬ;Объединяет несколько текстовых элементов в один.;CONCATENATE;;;
CONFIDENCE;Returns the confidence interval for a population mean;ДОВЕРИТ;Возвращает доверительный интервал для среднего значения по генеральной совокупности.;;;;
CONFIDENCE.NORM;Returns the confidence interval for a population mean;ДОВЕРИТ.НОРМ;Возвращает доверительный интервал для среднего значения по генеральной совокупности.;CONFIDENCE.NORM;;;
CONFIDENCE.T;Returns the confidence interval for a population mean, using a Student's t distribution;ДОВЕРИТ.СТЬЮДЕНТ;Возвращает доверительный интервал для среднего генеральной совокупности, используя t-распределение Стьюдента.;CONFIDENCE.T;;;
CONVERT;Converts a number from one measurement system to another;ПРЕОБР;Преобразует число из одной системы счисления в другую.;;;;
CORREL;Returns the correlation coefficient between two data sets;КОРРЕЛ;Возвращает коэффициент корреляции между двумя множествами данных.;CORREL;;;
COS;Returns the cosine of a number;COS;Возвращает косинус числа.;COS;;;
COSH;Returns the hyperbolic cosine of a number;COSH;Возвращает гиперболический косинус числа.;COSH;;;
COT;Returns the cotangent of an angle;COT;Возвращает котангенс угла.;COT;;;
COTH;Returns the hyperbolic cotangent of a number;COTH;Возвращает гиперболический котангенс числа.;COTH;;;
COUNT;Counts how many numbers are in the list of arguments;СЧЁТ;Подсчитывает количество чисел в списке аргументов.;COUNT;;;
COUNTA;Counts how many values are in the list of arguments;СЧЁТЗ;Подсчитывает количество значений в списке аргументов.;;;;
COUNTBLANK;Counts the number of blank cells within a range;СЧИТАТЬПУСТОТЫ;Подсчитывает количество пустых ячеек в диапазоне.;;;;
COUNTIF;Counts the number of cells within a range that meet the given criteria;СЧЁТЕСЛИ;Подсчитывает количество ячеек в диапазоне, удовлетворяющих заданному условию.;COUNTIF;;;
COUNTIFS;Counts the number of cells within a range that meet multiple criteria;СЧЁТЕСЛИМН;Подсчитывает количество ячеек внутри диапазона, удовлетворяющих нескольким условиям.;;;;
COUPDAYBS;Returns the number of days from the beginning of the coupon period to the settlement date;ДНЕЙКУПОНДО;Возвращает количество дней от начала действия купона до даты соглашения.;;;;
COUPDAYS;Returns the number of days in the coupon period that contains the settlement date;ДНЕЙКУПОН;Возвращает количество дней в периоде купона, который содержит дату расчета.;;;;
COUPDAYSNC;Returns the number of days from the settlement date to the next coupon date;ДНЕЙКУПОНПОСЛЕ;Возвращает количество дней от даты расчета до срока следующего купона.;;;;
COUPNCD;Returns the next coupon date after the settlement date;ДАТАКУПОНПОСЛЕ;Возвращает порядковый номер даты следующего купона после даты соглашения.;;;;
COUPNUM;Returns the number of coupons payable between the settlement date and maturity date;ЧИСЛКУПОН;Возвращает количество купонов между датой соглашения и сроком вступления в силу.;;;;
COUPPCD;Returns the previous coupon date before the settlement date;ДАТАКУПОНДО;Возвращает порядковый номер даты предыдущего купона до даты соглашения.;;;;
COVAR;Returns covariance, the average of the products of paired deviations;КОВАР;Возвращает ковариацию, среднее произведений парных отклонений.;;;;
COVARIANCE.P;Returns covariance, the average of the products of paired deviations;КОВАРИАЦИЯ.Г;Возвращает ковариацию, среднее произведений парных отклонений.;COVARIANCE.P,;;;
COVARIANCE.S;Returns the sample covariance, the average of the products deviations for each data point pair in two data sets;КОВАРИАЦИЯ.В;Возвращает ковариацию выборки — среднее попарных произведений отклонений для всех точек данных в двух наборах данных.;COVARIANCE.S;;;
CRITBINOM;Returns the smallest value for which the cumulative binomial distribution is less than or equal to a criterion value;КРИТБИНОМ;Возвращает наименьшее значение, для которого интегральное биномиальное распределение меньше заданного значения или равно ему.;;;;
CSC;Returns the cosecant of an angle;CSC;Возвращает косеканс угла.;CSC;;;
CSCH;Returns the hyperbolic cosecant of an angle;CSCH;Возвращает гиперболический косеканс угла.;CSCH;;;
CUBEKPIMEMBER;Returns a key performance indicator (KPI) property and displays the KPI name in the cell. A KPI is a quantifiable measurement, such as monthly gross profit or quarterly employee turnover, that is used to monitor an organization's performance.;КУБЭЛЕМЕНТКИП;Возвращает свойство ключевого показателя эффективности (КПЭ) и отображает его имя в ячейке. КПЭ представляет собой количественную величину, такую как ежемесячная валовая прибыль или ежеквартальная текучесть кадров, используемой для контроля эффективности работы организации.;;;;
CUBEMEMBER;Returns a member or tuple from the cube. Use to validate that the member or tuple exists in the cube.;КУБЭЛЕМЕНТ;Возвращает элемент или кортеж из куба. Используется для проверки существования элемента или кортежа в кубе.;;;;
CUBEMEMBERPROPERTY;Returns the value of a member property from the cube. Use to validate that a member name exists within the cube and to return the specified property for this member.;КУБСВОЙСТВОЭЛЕМЕНТА;Возвращает число элементов множества.;;;;
CUBERANKEDMEMBER;Returns the nth, or ranked, member in a set. Use to return one or more elements in a set, such as the top sales performer or the top 10 students.;КУБПОРЭЛЕМЕНТ;Возвращает n-й, или ранжированный, элемент в множестве. Используется для возвращения одного или нескольких элементов в множестве, например лучшего продавца или 10 лучших студентов.;;;;
CUBESET;Defines a calculated set of members or tuples by sending a set expression to the cube on the server, which creates the set, and then returns that set to Microsoft Office Excel.;КУБМНОЖ;Определяет вычисленное множество элементов или кортежей путем пересылки установленного выражения в куб на сервере, который формирует множество, а затем возвращает его в Microsoft Office Excel.;;;;
CUBESETCOUNT;Returns the number of items in a set.;КУБЧИСЛОЭЛМНОЖ;Возвращает число элементов в множестве.;;;;
CUBEVALUE;Returns an aggregated value from the cube.;КУБЗНАЧЕНИЕ;Возвращает агрегированное значение из куба.;;;;
CUMIPMT;Returns the cumulative interest paid between two periods;ОБЩПЛАТ;Возвращает кумулятивную (нарастающим итогом) величину процентов, выплачиваемых по займу в промежутке между двумя периодами выплат.;;;;
